image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_05989.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02078.jpg,0.5,0.01,0.01,0.01,0.0256809,0.01,0.01,0.01
img_04482.jpg,0.164826,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_02622.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02666.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05915.jpg,0.0363362,0.01,0.0558714,0.01,0.01,0.01,0.01,0.5
img_03563.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.294457
img_07160.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_07689.jpg,0.369846,0.01,0.0104899,0.01,0.5,0.01,0.01,0.0334923
img_03928.jpg,0.0410587,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_05558.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0526747
img_01552.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04835.jpg,0.232055,0.0950168,0.01,0.01,0.0426713,0.5,0.01,0.109798
img_04671.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01773.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_03239.jpg,0.01,0.0623509,0.01,0.01,0.01,0.01,0.5,0.01
img_01647.jpg,0.174558,0.01,0.0133491,0.01,0.487037,0.01,0.01,0.325054
img_01222.jpg,0.0108783,0.01,0.01,0.5,0.01,0.01,0.01,0.01
img_05948.jpg,0.5,0.01,0.01,0.01,0.0174387,0.01,0.01,0.01
img_04647.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06346.jpg,0.5,0.01,0.01,0.01,0.0115413,0.01,0.01,0.01
img_01673.jpg,0.5,0.097561,0.01,0.01,0.01,0.01,0.01,0.01
img_03892.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_01803.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_02282.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.0220256
img_03992.jpg,0.0865913,0.01,0.01,0.01,0.5,0.01,0.01,0.0297871
img_04015.jpg,0.5,0.01,0.01,0.01,0.01,0.0130586,0.01,0.01
img_06616.jpg,0.200483,0.01,0.01,0.01,0.01,0.0169679,0.01,0.5
img_01179.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02076.jpg,0.424634,0.01,0.0199623,0.01,0.5,0.01,0.01,0.0148128
img_00407.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_06962.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.209917,0.01
img_06959.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00598.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04750.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01
img_00129.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01
img_00483.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0281241
img_03548.jpg,0.5,0.01,0.01,0.01,0.0435383,0.01,0.01,0.01
img_06986.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01824.jpg,0.0463295,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_02857.jpg,0.5,0.01,0.01,0.01,0.346623,0.01,0.01,0.01
img_07199.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03297.jpg,0.5,0.01,0.01,0.01,0.225294,0.01,0.01,0.01
img_01426.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.0932479,0.01
img_01561.jpg,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.325493
img_05838.jpg,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01
img_07094.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.181573
img_03199.jpg,0.42276,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_05976.jpg,0.050073,0.0163775,0.01,0.01,0.01,0.01,0.5,0.01
img_07448.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_03342.jpg,0.0148915,0.01,0.01,0.01,0.01,0.01,0.5,0.0254514
img_00383.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0102947
img_04675.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5
img_07420.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02574.jpg,0.205259,0.0643753,0.01,0.01,0.0756305,0.364752,0.01,0.289713
img_00648.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05439.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_05434.jpg,0.257817,0.01,0.01,0.01,0.5,0.01,0.01,0.0509979
img_02180.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_04856.jpg,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00244.jpg,0.5,0.0464308,0.01,0.01,0.01,0.01,0.01,0.01
